代码,名称,实际控制人,类型,总市值(亿)
600765,中航重机,中国航空工业集团有限公司,国务院国资委(经央企集团),214.4
002265,建设工业,中国兵器装备集团有限公司,国务院国资委(经央企集团),214.0
600396,华电辽能,中国华电集团有限公司,国务院国资委(经央企集团),205.4
000825,太钢不锈,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),202.8
600511,国药股份,中国医药集团有限公司,国务院国资委(经央企集团),202.7
600808,马钢股份,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),202.5
000898,鞍钢股份,鞍钢集团有限公司,国务院国资委(经央企集团),196.8
600179,安通控股,招商局集团有限公司,国务院国资委(经央企集团),193.8
002389,航天彩虹,中国航天科技集团有限公司,国务院国资委(经央企集团),192.4
600339,中油工程,中国石油天然气集团有限公司,国务院国资委(经央企集团),192.1
000875,电投绿能,国家电力投资集团有限公司,国务院国资委(经央企集团),177.7
600435,北方导航,中国兵器工业集团有限公司,国务院国资委(经央企集团),176.6
000032,深桑达Ａ,中国电子信息产业集团有限公司,国务院国资委(经央企集团),173.2
001287,中电港,中国电子信息产业集团有限公司,国务院国资委(经央企集团),172.0
300140,节能环境,中国节能环保集团有限公司,国务院国资委(经央企集团),171.4
600776,东方通信,中国电子科技集团有限公司,国务院国资委(经央企集团),168.6
601038,一拖股份,中国机械工业集团有限公司,国务院国资委(经央企集团),167.8
600062,华润双鹤,中国华润有限公司,国务院国资委(经央企集团),167.6
002439,启明星辰,中国移动通信集团有限公司,国务院国资委(经央企集团),162.6
000050,深天马Ａ,中国航空工业集团有限公司,国务院国资委(经央企集团),161.2
600171,上海贝岭,中国电子信息产业集团有限公司,国务院国资委(经央企集团),160.6
600552,凯盛科技,中国建材集团有限公司,国务院国资委(经央企集团),160.2
688709,成都华微,中国电子信息产业集团有限公司,国务院国资委(经央企集团),153.9
000069,华侨城Ａ,华侨城集团有限公司,国务院国资委(经央企集团),151.1
600750,华润江中,中国华润有限公司,国务院国资委(经央企集团),148.0
688779,五矿新能,中国五矿集团有限公司,国务院国资委(经央企集团),148.0
600877,电科芯片,中国电子科技集团有限公司,国务院国资委(经央企集团),142.0
600710,苏美达,中国机械工业集团有限公司,国务院国资委(经央企集团),140.9
600151,航天机电,中国航天科技集团有限公司,国务院国资委(经央企集团),140.0
002226,江南化工,中国兵器工业集团有限公司,国务院国资委(经央企集团),137.5
600391,航发科技,中国航空发动机集团有限公司,国务院国资委(经央企集团),134.4
000799,酒鬼酒,中粮集团有限公司,国务院国资委(经央企集团),128.2
300455,航天智装,中国航天科技集团有限公司,国务院国资委(经央企集团),125.5
000028,国药一致,中国医药集团有限公司,国务院国资委(经央企集团),124.5
002246,北化股份,中国兵器工业集团有限公司,国务院国资委(经央企集团),122.0
600720,中交设计,中国交通建设集团有限公司,国务院国资委(经央企集团),121.4
600343,航天动力,中国航天科技集团有限公司,国务院国资委(经央企集团),121.1
002268,电科网安,中国电子科技集团有限公司,国务院国资委(经央企集团),119.3
601005,重庆钢铁,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),119.2
600850,电科数字,中国电子科技集团有限公司,国务院国资委(经央企集团),119.0
603698,航天工程,中国航天科技集团有限公司,国务院国资委(经央企集团),117.2
600508,上海能源,中国中煤能源集团有限公司,国务院国资委(经央企集团),116.9
002643,万润股份,中国节能环保集团有限公司,国务院国资委(经央企集团),116.5
000065,北方国际,中国北方工业有限公司,国务院国资委(经央企集团),115.3
000901,航天科技,中国航天科工集团有限公司,国务院国资委(经央企集团),114.5
000815,美利云,中国诚通控股集团有限公司,国务院国资委(经央企集团),113.7
600458,时代新材,中国中车集团有限公司,国务院国资委(经央企集团),111.7
688710,益诺思,中国医药集团有限公司,国务院国资委(经央企集团),111.2
300446,航天智造,中国航天科技集团有限公司,国务院国资委(经央企集团),110.9
002544,普天科技,中国电子科技集团有限公司,国务院国资委(经央企集团),110.7
000930,中粮科技,中粮集团有限公司,国务院国资委(经央企集团),108.2
688552,航天南湖,中国航天科工集团有限公司,国务院国资委(经央企集团),108.1
002051,中工国际,中国机械工业集团有限公司,国务院国资委(经央企集团),106.7
301090,华润材料,中国华润有限公司,国务院国资委(经央企集团),106.3
600184,光电股份,中国兵器工业集团有限公司,国务院国资委(经央企集团),105.2
600058,五矿发展,中国五矿集团有限公司,国务院国资委(经央企集团),104.6
002017,东信和平,中国电子科技集团有限公司,国务院国资委(经央企集团),104.4
000727,冠捷科技,中国电子信息产业集团有限公司,国务院国资委(经央企集团),103.7
600480,凌云股份,中国兵器工业集团有限公司,国务院国资委(经央企集团),101.8
000761,本钢板材,鞍钢集团有限公司,国务院国资委(经央企集团),99.0
001914,招商积余,招商局集团有限公司,国务院国资委(经央企集团),97.7
603100,川仪股份,中国机械工业集团有限公司,国务院国资委(经央企集团),96.6
000059,华锦股份,中国兵器工业集团有限公司,国务院国资委(经央企集团),95.3
600328,中盐化工,中国盐业集团有限公司,国务院国资委(经央企集团),95.3
600313,农发种业,中国农业发展集团有限公司,国务院国资委(经央企集团),93.8
002190,成飞集成,中国航空工业集团有限公司,国务院国资委(经央企集团),93.3
600775,南京熊猫,中国电子信息产业集团有限公司,国务院国资委(经央企集团),91.4
688586,江航装备,中国航空工业集团有限公司,国务院国资委(经央企集团),90.4
600782,新钢股份,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),89.8
688190,云路股份,中国航空发动机集团有限公司,国务院国资委(经央企集团),87.7
002368,太极股份,中国电子科技集团有限公司,国务院国资委(经央企集团),87.4
300527,ST应急,中国船舶集团有限公司,国务院国资委(经央企集团),85.3
600973,宝胜股份,中国航空工业集团有限公司,国务院国资委(经央企集团),82.8
000026,飞亚达,中国航空工业集团有限公司,国务院国资委(经央企集团),80.9
600698,湖南天雁,中国长安汽车集团有限公司,国务院国资委(经央企集团),80.3
003009,中天火箭,中国航天科技集团有限公司,国务院国资委(经央企集团),79.1
603395,红四方,中国盐业集团有限公司,国务院国资委(经央企集团),78.7
600129,太极集团,中国医药集团有限公司,国务院国资委(经央企集团),77.8
688439,振华风光,中国电子信息产业集团有限公司,国务院国资委(经央企集团),77.2
688456,有研粉材,中国有研科技集团有限公司,国务院国资委(经央企集团),76.2
603013,亚普股份,国家开发投资集团有限公司,国务院国资委(经央企集团),75.3
300294,博雅生物,中国华润有限公司,国务院国资委(经央企集团),74.8
600195,中牧股份,中国农业发展集团有限公司,国务院国资委(经央企集团),73.6
000503,国新健康,中国国新控股有限责任公司,国务院国资委(经央企集团),69.5
000008,神州高铁,国家开发投资集团有限公司,国务院国资委(经央企集团),69.0
002935,天奥电子,中国电子科技集团有限公司,国务院国资委(经央企集团),66.9
000777,中核科技,中国核工业集团有限公司,国务院国资委(经央企集团),66.1
